"Ozone","Solar.R","Wind","Temp","Month","Day","RealFeel","WindchillTemp"
"97",35,NA,7.4,85,8,5,NA,89.3767541702747
"98",66,NA,4.6,87,8,6,NA,91.6519378891977
"99",122,255,4,89,8,7,142.077539436101,93.9215394361015
"100",89,229,10.3,90,8,8,123.04104752357,95.6324957994321
"101",110,207,8,90,8,9,131.955676490805,95.4756764908049
"102",NA,222,8.6,92,8,10,NA,97.9692955398688
"103",NA,137,11.5,86,8,11,NA,90.6892985747787
"104",44,192,11.5,86,8,12,99.9524613654764,90.6892985747787
"105",28,273,11.5,82,8,13,92.0080740541354,85.6757019611121
"106",65,157,9.7,80,8,14,100.389140679173,83.2304604761277
"107",NA,64,11.5,79,8,15,NA,81.9155045008622
"108",22,71,10.3,77,8,16,78.1261586687144,79.4818828066454
"109",59,51,6.3,79,8,17,96.2460113709948,82.183827321915
"110",23,115,7.4,76,8,18,81.6839370452762,78.483500263667
"111",31,244,10.9,78,8,19,87.7727016893942,80.6924528855664
"112",44,190,10.3,78,8,20,91.1279617901754,80.7242376522444
"113",21,259,15.5,77,8,21,78.5217017592777,79.2038978377091
"114",9,36,14.3,72,8,22,62.7900941649672,72.8810571279302
"115",NA,255,12.6,75,8,23,NA,76.8216571838828
"116",45,212,9.7,79,8,24,94.1470340151756,81.9940390913177
"117",168,238,3.4,81,8,25,148.983051897229,84.716216076333
"118",73,215,8,86,8,26,114.519775932457,90.6046648213457
"119",NA,153,5.7,88,8,27,NA,92.9024813713572
"120",76,203,9.7,97,8,28,126.87082198744,104.249624017897
"121",118,225,2.3,94,8,29,147.237101756384,99.2282237076039
"122",84,237,6.3,96,8,30,133.255415231577,102.505501121148
"123",85,188,6.3,94,8,31,129.108335600199,100.114715968297
"124",96,167,6.9,91,9,1,127.83574785673,96.5905880934166
"125",78,197,5.1,92,9,2,126.020611329064,97.5641609979385
"126",73,183,2.8,93,9,3,127.466497493537,98.2646849935368
"127",91,189,4.6,93,9,4,131.914958283422,98.6553144478058
"128",47,95,7.4,87,9,5,102.545316341092,91.797477260632
"129",32,92,15.5,84,9,6,86.7555595150428,88.1940693189644
"130",20,252,10.9,80,9,7,86.7086537462409,83.1884623586811
"131",23,220,10.3,78,9,8,84.8544445487961,80.7242376522444
"132",21,230,10.9,75,9,9,80.0797879581911,76.9484386758944
"133",24,259,9.7,73,9,10,81.0905564677372,74.575510782458
"134",44,236,14.9,81,9,11,91.6186353731817,84.3520972205713
"135",21,259,15.5,76,9,12,77.2373915476698,77.9195876261012
"136",28,238,6.3,77,9,13,91.0979010647696,79.7930421690641
"137",9,24,10.9,71,9,14,64.0122474808613,71.9564197296651
"138",13,112,11.5,71,9,15,67.7588229014361,71.8883112735292
"139",46,237,6.9,78,9,16,97.685665790504,80.9410977431667
"140",18,224,13.8,67,9,17,65.5059671146442,66.5637318205265
"141",13,27,10.3,76,9,18,72.234562443805,78.2395279610464
"142",24,238,10.3,68,9,19,73.3995857479787,68.3006891962546
"143",16,201,8,82,9,20,89.2683198185531,85.7336531518865
"144",13,238,12.6,64,9,21,61.7576078627838,62.9319264468546
"145",23,14,9.2,71,9,22,69.9925480314582,72.1681313647915
"146",36,139,10.3,81,9,23,90.3124056373171,84.4513021890413
"147",7,49,10.3,69,9,24,62.2086992142674,69.5430440418536
"148",14,20,16.6,63,9,25,50.6010744144096,61.0727586249359
"149",30,193,6.9,70,9,26,80.6647249832496,71.310642143013
"150",NA,145,13.2,77,9,27,NA,79.3153228169111
"151",14,191,14.3,75,9,28,72.8225733393745,76.7085157262057
"152",18,131,8,76,9,29,79.9355800921421,78.4271356476977
"153",20,223,11.5,68,9,30,70.0485789295583,68.1281138132792
