"Ozone","Solar.R","Wind","Temp","Month","Day","RealFeel","WindchillTemp"
"135",21,259,15.5,76,9,12,77.2373915476698,77.9195876261012
"136",28,238,6.3,77,9,13,91.0979010647696,79.7930421690641
"137",9,24,10.9,71,9,14,64.0122474808613,71.9564197296651
"138",13,112,11.5,71,9,15,67.7588229014361,71.8883112735292
"139",46,237,6.9,78,9,16,97.685665790504,80.9410977431667
"140",18,224,13.8,67,9,17,65.5059671146442,66.5637318205265
"141",13,27,10.3,76,9,18,72.234562443805,78.2395279610464
"142",24,238,10.3,68,9,19,73.3995857479787,68.3006891962546
"143",16,201,8,82,9,20,89.2683198185531,85.7336531518865
"144",13,238,12.6,64,9,21,61.7576078627838,62.9319264468546
"145",23,14,9.2,71,9,22,69.9925480314582,72.1681313647915
"146",36,139,10.3,81,9,23,90.3124056373171,84.4513021890413
"147",7,49,10.3,69,9,24,62.2086992142674,69.5430440418536
"148",14,20,16.6,63,9,25,50.6010744144096,61.0727586249359
"149",30,193,6.9,70,9,26,80.6647249832496,71.310642143013
"151",14,191,14.3,75,9,28,72.8225733393745,76.7085157262057
"152",18,131,8,76,9,29,79.9355800921421,78.4271356476977
"153",20,223,11.5,68,9,30,70.0485789295583,68.1281138132792
