origin,dest,carrier,dep_delay,arr_delay,air_time,seats,temp
JFK,LAX,DL,-6,-8,347,178,17.96
JFK,LAX,DL,-6,-3,343,178,17.96
JFK,LAX,DL,-6,-3,358,178,17.96
JFK,LAX,DL,-6,-2,350,178,17.96
JFK,LAX,DL,-6,-2,351,178,17.96
JFK,LAX,DL,-6,10,335,178,17.96
JFK,LAX,DL,-6,15,351,178,17.96
JFK,LAX,DL,-6,29,334,178,17.96
JFK,LAX,DL,-5,-66,309,178,17.96
JFK,LAX,DL,-5,-57,314,178,17.96
JFK,LAX,DL,-5,-53,310,178,17.96
JFK,LAX,DL,-5,-49,310,178,17.96
JFK,LAX,DL,-5,-47,319,178,17.96
JFK,LAX,DL,-5,-46,335,178,17.96
JFK,LAX,DL,-5,-44,313,178,17.96
JFK,LAX,DL,-5,-44,337,178,17.96
JFK,LAX,DL,-5,-43,319,178,17.96
JFK,LAX,DL,-5,-40,311,178,17.96
JFK,LAX,DL,-5,-39,326,178,17.96
JFK,LAX,DL,-5,-38,316,178,17.96
JFK,LAX,DL,-5,-38,329,178,17.96
JFK,LAX,DL,-5,-33,328,178,17.96
JFK,LAX,DL,-5,-31,334,178,17.96
JFK,LAX,DL,-5,-30,333,178,17.96
JFK,LAX,DL,-5,-29,323,178,17.96
JFK,LAX,DL,-5,-28,333,178,17.96
JFK,LAX,DL,-5,-25,334,178,17.96
JFK,LAX,DL,-5,-25,335,178,17.96
JFK,LAX,DL,-5,-24,330,178,17.96
JFK,LAX,DL,-5,-23,330,178,17.96
JFK,LAX,DL,-5,-23,334,178,17.96
JFK,LAX,DL,-5,-20,332,178,17.96
JFK,LAX,DL,-5,-20,342,178,17.96
JFK,LAX,DL,-5,-19,329,178,17.96
JFK,LAX,DL,-5,-19,343,178,17.96
JFK,LAX,DL,-5,-19,346,178,17.96
JFK,LAX,DL,-5,-18,335,178,17.96
JFK,LAX,DL,-5,-18,338,178,17.96
JFK,LAX,DL,-5,-17,333,178,17.96
JFK,LAX,DL,-5,-17,353,178,17.96
JFK,LAX,DL,-5,-17,354,178,17.96
JFK,LAX,DL,-5,-16,332,178,17.96
JFK,LAX,DL,-5,-16,338,178,17.96
JFK,LAX,DL,-5,-16,346,178,17.96
JFK,LAX,DL,-5,-16,356,178,17.96
JFK,LAX,DL,-5,-15,335,178,17.96
JFK,LAX,DL,-5,-14,327,178,17.96
JFK,LAX,DL,-5,-14,337,178,17.96
JFK,LAX,DL,-5,-12,322,178,17.96
JFK,LAX,DL,-5,-12,346,178,17.96
JFK,LAX,DL,-5,-9,345,178,17.96
JFK,LAX,DL,-5,-7,330,178,17.96
JFK,LAX,DL,-5,-7,343,178,17.96
JFK,LAX,DL,-5,-6,340,178,17.96
JFK,LAX,DL,-5,-5,334,178,17.96
JFK,LAX,DL,-5,-5,337,178,17.96
JFK,LAX,DL,-5,-5,338,178,17.96
JFK,LAX,DL,-5,-5,342,178,17.96
JFK,LAX,DL,-5,-5,349,178,17.96
JFK,LAX,DL,-5,-3,348,178,17.96
JFK,LAX,DL,-5,-1,331,178,17.96
JFK,LAX,DL,-5,4,352,178,17.96
JFK,LAX,DL,-5,5,335,178,17.96
JFK,LAX,DL,-5,7,365,178,17.96
JFK,LAX,DL,-5,10,344,178,17.96
JFK,LAX,DL,-5,17,364,178,17.96
JFK,LAX,DL,-5,67,360,178,17.96
JFK,LAX,DL,-4,-58,316,178,17.96
JFK,LAX,DL,-4,-57,323,178,17.96
JFK,LAX,DL,-4,-54,316,178,17.96
JFK,LAX,DL,-4,-53,319,178,17.96
JFK,LAX,DL,-4,-46,326,178,17.96
JFK,LAX,DL,-4,-44,333,178,17.96
JFK,LAX,DL,-4,-43,327,178,17.96
JFK,LAX,DL,-4,-40,326,178,17.96
JFK,LAX,DL,-4,-39,321,178,17.96
JFK,LAX,DL,-4,-38,341,178,17.96
JFK,LAX,DL,-4,-32,308,178,17.96
JFK,LAX,DL,-4,-32,328,178,17.96
JFK,LAX,DL,-4,-32,337,178,17.96
JFK,LAX,DL,-4,-32,340,178,17.96
JFK,LAX,DL,-4,-30,342,178,17.96
JFK,LAX,DL,-4,-29,328,178,17.96
JFK,LAX,DL,-4,-29,339,178,17.96
JFK,LAX,DL,-4,-29,340,178,17.96
JFK,LAX,DL,-4,-29,341,178,17.96
JFK,LAX,DL,-4,-28,320,178,17.96
JFK,LAX,DL,-4,-28,327,178,17.96
JFK,LAX,DL,-4,-28,337,178,17.96
JFK,LAX,DL,-4,-26,319,178,17.96
JFK,LAX,DL,-4,-26,337,178,17.96
JFK,LAX,DL,-4,-25,335,178,17.96
JFK,LAX,DL,-4,-23,322,178,17.96
JFK,LAX,DL,-4,-22,335,178,17.96
JFK,LAX,DL,-4,-22,343,178,17.96
JFK,LAX,DL,-4,-21,329,178,17.96
JFK,LAX,DL,-4,-21,338,178,17.96
JFK,LAX,DL,-4,-19,330,178,17.96
JFK,LAX,DL,-4,-19,341,178,17.96
JFK,LAX,DL,-4,-18,336,178,17.96
JFK,LAX,DL,-4,-17,342,178,17.96
JFK,LAX,DL,-4,-16,350,178,17.96
JFK,LAX,DL,-4,-14,337,178,17.96
JFK,LAX,DL,-4,-11,348,178,17.96
JFK,LAX,DL,-4,-11,350,178,17.96
JFK,LAX,DL,-4,-7,332,178,17.96
JFK,LAX,DL,-4,0,330,178,17.96
JFK,LAX,DL,-4,0,339,178,17.96
JFK,LAX,DL,-4,1,350,178,17.96
JFK,LAX,DL,-4,1,360,178,17.96
JFK,LAX,DL,-4,2,350,178,17.96
JFK,LAX,DL,-4,2,354,178,17.96
JFK,LAX,DL,-4,8,355,178,17.96
JFK,LAX,DL,-4,9,352,178,17.96
JFK,LAX,DL,-4,9,355,178,17.96
JFK,LAX,DL,-4,14,361,178,17.96
JFK,LAX,DL,-3,-65,303,178,17.96
JFK,LAX,DL,-3,-50,320,178,17.96
JFK,LAX,DL,-3,-50,322,178,17.96
JFK,LAX,DL,-3,-48,321,178,17.96
JFK,LAX,DL,-3,-46,332,178,17.96
JFK,LAX,DL,-3,-41,326,178,17.96
JFK,LAX,DL,-3,-41,330,178,17.96
JFK,LAX,DL,-3,-39,333,178,17.96
JFK,LAX,DL,-3,-36,326,178,17.96
JFK,LAX,DL,-3,-35,331,178,17.96
JFK,LAX,DL,-3,-34,331,178,17.96
JFK,LAX,DL,-3,-33,339,178,17.96
JFK,LAX,DL,-3,-33,342,178,17.96
JFK,LAX,DL,-3,-32,323,178,17.96
JFK,LAX,DL,-3,-32,334,178,17.96
JFK,LAX,DL,-3,-30,337,178,17.96
JFK,LAX,DL,-3,-26,343,178,17.96
JFK,LAX,DL,-3,-24,328,178,17.96
JFK,LAX,DL,-3,-24,335,178,17.96
JFK,LAX,DL,-3,-24,343,178,17.96
JFK,LAX,DL,-3,-22,334,178,17.96
JFK,LAX,DL,-3,-22,336,178,17.96
JFK,LAX,DL,-3,-22,345,178,17.96
JFK,LAX,DL,-3,-21,346,178,17.96
JFK,LAX,DL,-3,-20,343,178,17.96
JFK,LAX,DL,-3,-20,345,178,17.96
JFK,LAX,DL,-3,-19,311,178,17.96
JFK,LAX,DL,-3,-19,340,178,17.96
JFK,LAX,DL,-3,-18,325,178,17.96
JFK,LAX,DL,-3,-18,332,178,17.96
JFK,LAX,DL,-3,-18,347,178,17.96
JFK,LAX,DL,-3,-16,342,178,17.96
JFK,LAX,DL,-3,-16,348,178,17.96
JFK,LAX,DL,-3,-16,349,178,17.96
JFK,LAX,DL,-3,-16,352,178,17.96
JFK,LAX,DL,-3,-15,339,178,17.96
JFK,LAX,DL,-3,-15,350,178,17.96
JFK,LAX,DL,-3,-13,336,178,17.96
JFK,LAX,DL,-3,-12,339,178,17.96
JFK,LAX,DL,-3,-10,336,178,17.96
JFK,LAX,DL,-3,-10,341,178,17.96
JFK,LAX,DL,-3,-9,339,178,17.96
JFK,LAX,DL,-3,-8,345,178,17.96
JFK,LAX,DL,-3,-6,339,178,17.96
JFK,LAX,DL,-3,-6,345,178,17.96
JFK,LAX,DL,-3,-6,353,178,17.96
JFK,LAX,DL,-3,-5,331,178,17.96
JFK,LAX,DL,-3,-5,332,178,17.96
JFK,LAX,DL,-3,-5,353,178,17.96
JFK,LAX,DL,-3,-4,350,178,17.96
JFK,LAX,DL,-3,-2,351,178,17.96
JFK,LAX,DL,-3,-2,362,178,17.96
JFK,LAX,DL,-3,-1,343,178,17.96
JFK,LAX,DL,-3,0,329,178,17.96
JFK,LAX,DL,-3,1,342,178,17.96
JFK,LAX,DL,-3,2,359,178,17.96
JFK,LAX,DL,-3,13,357,178,17.96
JFK,LAX,DL,-3,17,351,178,17.96
JFK,LAX,DL,-3,18,349,178,17.96
JFK,LAX,DL,-3,23,334,178,17.96
JFK,LAX,DL,-2,-66,303,178,17.96
JFK,LAX,DL,-2,-62,316,178,17.96
JFK,LAX,DL,-2,-50,311,178,17.96
JFK,LAX,DL,-2,-45,322,178,17.96
JFK,LAX,DL,-2,-41,327,178,17.96
JFK,LAX,DL,-2,-38,318,178,17.96
JFK,LAX,DL,-2,-38,329,178,17.96
JFK,LAX,DL,-2,-37,331,178,17.96
JFK,LAX,DL,-2,-37,333,178,17.96
JFK,LAX,DL,-2,-31,333,178,17.96
JFK,LAX,DL,-2,-27,336,178,17.96
JFK,LAX,DL,-2,-24,336,178,17.96
JFK,LAX,DL,-2,-24,346,178,17.96
JFK,LAX,DL,-2,-23,342,178,17.96
JFK,LAX,DL,-2,-22,333,178,17.96
JFK,LAX,DL,-2,-22,338,178,17.96
JFK,LAX,DL,-2,-20,335,178,17.96
JFK,LAX,DL,-2,-20,343,178,17.96
JFK,LAX,DL,-2,-19,338,178,17.96
JFK,LAX,DL,-2,-17,328,178,17.96
JFK,LAX,DL,-2,-16,336,178,17.96
JFK,LAX,DL,-2,-14,348,178,17.96
JFK,LAX,DL,-2,-12,348,178,17.96
JFK,LAX,DL,-2,-10,350,178,17.96
JFK,LAX,DL,-2,-9,311,178,17.96
JFK,LAX,DL,-2,-5,362,178,17.96
JFK,LAX,DL,-2,-3,339,178,17.96
JFK,LAX,DL,-2,-3,345,178,17.96
JFK,LAX,DL,-2,-1,344,178,17.96
JFK,LAX,DL,-2,0,349,178,17.96
JFK,LAX,DL,-2,1,323,178,17.96
JFK,LAX,DL,-2,4,348,178,17.96
JFK,LAX,DL,-2,6,323,178,17.96
JFK,LAX,DL,-2,6,353,178,17.96
JFK,LAX,DL,-2,16,353,178,17.96
JFK,LAX,DL,-2,20,347,178,17.96
JFK,LAX,DL,-2,25,362,178,17.96
JFK,LAX,DL,-1,-62,306,178,17.96
JFK,LAX,DL,-1,-50,317,178,17.96
JFK,LAX,DL,-1,-47,322,178,17.96
JFK,LAX,DL,-1,-42,316,178,17.96
JFK,LAX,DL,-1,-39,324,178,17.96
JFK,LAX,DL,-1,-38,328,178,17.96
JFK,LAX,DL,-1,-34,325,178,17.96
JFK,LAX,DL,-1,-34,333,178,17.96
JFK,LAX,DL,-1,-29,335,178,17.96
JFK,LAX,DL,-1,-24,328,178,17.96
JFK,LAX,DL,-1,-24,333,178,17.96
JFK,LAX,DL,-1,-24,338,178,17.96
JFK,LAX,DL,-1,-23,339,178,17.96
JFK,LAX,DL,-1,-22,329,178,17.96
JFK,LAX,DL,-1,-22,334,178,17.96
JFK,LAX,DL,-1,-22,341,178,17.96
JFK,LAX,DL,-1,-19,339,178,17.96
JFK,LAX,DL,-1,-18,339,178,17.96
JFK,LAX,DL,-1,-18,341,178,17.96
JFK,LAX,DL,-1,-17,330,178,17.96
JFK,LAX,DL,-1,-17,345,178,17.96
JFK,LAX,DL,-1,-16,341,178,17.96
JFK,LAX,DL,-1,-16,359,178,17.96
JFK,LAX,DL,-1,-14,334,178,17.96
JFK,LAX,DL,-1,-14,337,178,17.96
JFK,LAX,DL,-1,-13,342,178,17.96
JFK,LAX,DL,-1,-10,355,178,17.96
JFK,LAX,DL,-1,-9,338,178,17.96
JFK,LAX,DL,-1,-6,345,178,17.96
JFK,LAX,DL,-1,-2,345,178,17.96
JFK,LAX,DL,-1,-2,350,178,17.96
JFK,LAX,DL,-1,0,333,178,17.96
JFK,LAX,DL,-1,0,354,178,17.96
JFK,LAX,DL,-1,1,337,178,17.96
JFK,LAX,DL,-1,4,352,178,17.96
JFK,LAX,DL,-1,6,342,178,17.96
JFK,LAX,DL,-1,16,365,178,17.96
JFK,LAX,DL,-1,26,366,178,17.96
JFK,LAX,DL,-1,34,344,178,17.96
JFK,LAX,DL,-1,36,359,178,17.96
JFK,LAX,DL,0,-50,323,178,17.96
JFK,LAX,DL,0,-49,323,178,17.96
JFK,LAX,DL,0,-39,321,178,17.96
JFK,LAX,DL,0,-38,321,178,17.96
JFK,LAX,DL,0,-35,313,178,17.96
JFK,LAX,DL,0,-35,321,178,17.96
JFK,LAX,DL,0,-35,327,178,17.96
JFK,LAX,DL,0,-33,331,178,17.96
JFK,LAX,DL,0,-30,335,178,17.96
JFK,LAX,DL,0,-27,339,178,17.96
JFK,LAX,DL,0,-26,332,178,17.96
JFK,LAX,DL,0,-21,314,178,17.96
JFK,LAX,DL,0,-18,337,178,17.96
JFK,LAX,DL,0,-18,338,178,17.96
JFK,LAX,DL,0,-16,336,178,17.96
JFK,LAX,DL,0,-16,346,178,17.96
JFK,LAX,DL,0,-15,325,178,17.96
JFK,LAX,DL,0,-15,332,178,17.96
JFK,LAX,DL,0,-15,343,178,17.96
JFK,LAX,DL,0,-13,345,178,17.96
JFK,LAX,DL,0,-12,336,178,17.96
JFK,LAX,DL,0,-10,326,178,17.96
JFK,LAX,DL,0,-7,350,178,17.96
JFK,LAX,DL,0,-1,334,178,17.96
JFK,LAX,DL,0,-1,337,178,17.96
JFK,LAX,DL,0,0,347,178,17.96
JFK,LAX,DL,0,3,338,178,17.96
JFK,LAX,DL,0,4,331,178,17.96
JFK,LAX,DL,0,4,350,178,17.96
JFK,LAX,DL,0,22,349,178,17.96
JFK,LAX,DL,1,-37,325,178,17.96
JFK,LAX,DL,1,-35,309,178,17.96
JFK,LAX,DL,1,-32,339,178,17.96
JFK,LAX,DL,1,-27,315,178,17.96
JFK,LAX,DL,1,-22,339,178,17.96
JFK,LAX,DL,1,-21,332,178,17.96
JFK,LAX,DL,1,-20,336,178,17.96
JFK,LAX,DL,1,-9,342,178,17.96
JFK,LAX,DL,1,15,358,178,17.96
JFK,LAX,DL,2,-36,324,178,17.96
JFK,LAX,DL,2,-19,338,178,17.96
JFK,LAX,DL,2,16,350,178,17.96
JFK,LAX,DL,3,-16,336,178,17.96
JFK,LAX,DL,3,-15,348,178,17.96
JFK,LAX,DL,3,10,341,178,17.96
JFK,LAX,DL,3,19,366,178,17.96
JFK,LAX,DL,4,-34,320,178,17.96
JFK,LAX,DL,4,-28,338,178,17.96
JFK,LAX,DL,4,-26,326,178,17.96
JFK,LAX,DL,4,-15,328,178,17.96
JFK,LAX,DL,4,2,359,178,17.96
JFK,LAX,DL,4,13,354,178,17.96
JFK,LAX,DL,5,-48,310,178,17.96
JFK,LAX,DL,5,-40,309,178,17.96
JFK,LAX,DL,5,-22,324,178,17.96
JFK,LAX,DL,5,-11,319,178,17.96
JFK,LAX,DL,6,-15,335,178,17.96
JFK,LAX,DL,6,-11,333,178,17.96
JFK,LAX,DL,6,2,343,178,17.96
JFK,LAX,DL,7,-18,341,178,17.96
JFK,LAX,DL,8,14,347,178,17.96
JFK,LAX,DL,9,36,347,178,17.96
JFK,LAX,DL,9,42,354,178,17.96
JFK,LAX,DL,10,13,334,178,17.96
JFK,LAX,DL,11,-32,308,178,17.96
JFK,LAX,DL,11,0,331,178,17.96
JFK,LAX,DL,11,3,335,178,17.96
JFK,LAX,DL,12,-11,338,178,17.96
JFK,LAX,DL,12,-3,341,178,17.96
JFK,LAX,DL,13,-23,327,178,17.96
JFK,LAX,DL,13,-14,329,178,17.96
JFK,LAX,DL,13,11,353,178,17.96
JFK,LAX,DL,13,37,345,178,17.96
JFK,LAX,DL,14,-15,336,178,17.96
JFK,LAX,DL,15,-25,314,178,17.96
JFK,LAX,DL,15,9,342,178,17.96
JFK,LAX,DL,16,0,336,178,17.96
JFK,LAX,DL,18,-15,335,178,17.96
JFK,LAX,DL,18,22,350,178,17.96
JFK,LAX,DL,19,37,365,178,17.96
JFK,LAX,DL,20,16,351,178,17.96
JFK,LAX,DL,21,18,347,178,17.96
JFK,LAX,DL,23,-3,343,178,17.96
JFK,LAX,DL,23,1,324,178,17.96
JFK,LAX,DL,28,8,340,178,17.96
JFK,LAX,DL,28,28,338,178,17.96
JFK,LAX,DL,30,4,329,178,17.96
JFK,LAX,DL,39,7,324,178,17.96
JFK,LAX,DL,47,34,353,178,17.96
JFK,LAX,DL,49,7,321,178,17.96
JFK,LAX,DL,53,37,339,178,17.96
JFK,LAX,DL,56,50,342,178,17.96
JFK,LAX,DL,92,51,328,178,17.96
JFK,LAX,DL,92,85,350,178,17.96
JFK,LAX,DL,115,100,323,178,17.96
JFK,LAX,DL,115,124,341,178,17.96
JFK,LAX,DL,144,138,345,178,17.96
JFK,LAX,DL,174,159,341,178,17.96
JFK,LAX,DL,800,784,335,178,17.96
JFK,LAX,DL,,,,178,17.96
JFK,LAX,UA,-15,-20,346,178,17.96
JFK,LAX,UA,-12,-32,326,178,17.96
JFK,LAX,UA,-11,-50,296,178,17.96
JFK,LAX,UA,-10,-30,337,178,17.96
JFK,LAX,UA,-10,-26,326,178,17.96
JFK,LAX,UA,-10,-24,316,178,17.96
JFK,LAX,UA,-10,-20,334,178,17.96
JFK,LAX,UA,-10,-12,338,178,17.96
JFK,LAX,UA,-10,-10,348,178,17.96
JFK,LAX,UA,-9,-23,324,178,17.96
JFK,LAX,UA,-9,-23,335,178,17.96
JFK,LAX,UA,-9,-20,335,178,17.96
JFK,LAX,UA,-9,-15,339,178,17.96
JFK,LAX,UA,-9,-13,324,178,17.96
JFK,LAX,UA,-9,-12,347,178,17.96
JFK,LAX,UA,-9,-4,327,178,17.96
JFK,LAX,UA,-9,-4,345,178,17.96
JFK,LAX,UA,-9,2,337,178,17.96
JFK,LAX,UA,-9,35,372,178,17.96
JFK,LAX,UA,-8,-25,332,178,17.96
JFK,LAX,UA,-8,-22,335,178,17.96
JFK,LAX,UA,-8,-20,343,178,17.96
JFK,LAX,UA,-8,-14,341,178,17.96
JFK,LAX,UA,-8,-12,332,178,17.96
JFK,LAX,UA,-8,-10,341,178,17.96
JFK,LAX,UA,-8,-8,333,178,17.96
JFK,LAX,UA,-8,-7,329,178,17.96
JFK,LAX,UA,-8,-3,350,178,17.96
JFK,LAX,UA,-8,8,349,178,17.96
JFK,LAX,UA,-8,29,342,178,17.96
JFK,LAX,UA,-7,-32,311,178,17.96
JFK,LAX,UA,-7,-28,325,178,17.96
JFK,LAX,UA,-7,-26,336,178,17.96
JFK,LAX,UA,-7,-24,333,178,17.96
JFK,LAX,UA,-7,-23,327,178,17.96
JFK,LAX,UA,-7,-22,328,178,17.96
JFK,LAX,UA,-7,-22,331,178,17.96
JFK,LAX,UA,-7,-11,326,178,17.96
JFK,LAX,UA,-7,-11,337,178,17.96
JFK,LAX,UA,-7,-7,343,178,17.96
JFK,LAX,UA,-7,-4,344,178,17.96
JFK,LAX,UA,-7,1,344,178,17.96
JFK,LAX,UA,-7,2,356,178,17.96
JFK,LAX,UA,-7,14,357,178,17.96
JFK,LAX,UA,-7,25,350,178,17.96
JFK,LAX,UA,-7,33,366,178,17.96
JFK,LAX,UA,-6,-35,331,178,17.96
JFK,LAX,UA,-6,-32,334,178,17.96
JFK,LAX,UA,-6,-30,307,178,17.96
JFK,LAX,UA,-6,-27,336,178,17.96
JFK,LAX,UA,-6,-25,329,178,17.96
JFK,LAX,UA,-6,-25,334,178,17.96
JFK,LAX,UA,-6,-24,338,178,17.96
JFK,LAX,UA,-6,-21,333,178,17.96
JFK,LAX,UA,-6,-20,339,178,17.96
JFK,LAX,UA,-6,-18,339,178,17.96
JFK,LAX,UA,-6,-18,340,178,17.96
JFK,LAX,UA,-6,-14,324,178,17.96
JFK,LAX,UA,-6,-12,332,178,17.96
JFK,LAX,UA,-6,-11,340,178,17.96
JFK,LAX,UA,-6,-2,345,178,17.96
JFK,LAX,UA,-6,-1,347,178,17.96
JFK,LAX,UA,-6,1,339,178,17.96
JFK,LAX,UA,-6,4,347,178,17.96
JFK,LAX,UA,-6,5,342,178,17.96
JFK,LAX,UA,-6,6,344,178,17.96
JFK,LAX,UA,-6,7,337,178,17.96
JFK,LAX,UA,-6,11,346,178,17.96
JFK,LAX,UA,-6,13,338,178,17.96
JFK,LAX,UA,-6,53,373,178,17.96
JFK,LAX,UA,-5,-54,300,178,17.96
JFK,LAX,UA,-5,-50,313,178,17.96
JFK,LAX,UA,-5,-47,307,178,17.96
JFK,LAX,UA,-5,-33,325,178,17.96
JFK,LAX,UA,-5,-26,327,178,17.96
JFK,LAX,UA,-5,-19,336,178,17.96
JFK,LAX,UA,-5,-17,331,178,17.96
JFK,LAX,UA,-5,-13,335,178,17.96
JFK,LAX,UA,-5,-12,347,178,17.96
JFK,LAX,UA,-5,-11,336,178,17.96
JFK,LAX,UA,-5,-11,343,178,17.96
JFK,LAX,UA,-5,-5,339,178,17.96
JFK,LAX,UA,-5,0,341,178,17.96
JFK,LAX,UA,-5,1,360,178,17.96
JFK,LAX,UA,-5,6,356,178,17.96
JFK,LAX,UA,-5,14,341,178,17.96
JFK,LAX,UA,-4,-51,306,178,17.96
JFK,LAX,UA,-4,-46,301,178,17.96
JFK,LAX,UA,-4,-44,308,178,17.96
JFK,LAX,UA,-4,-36,306,178,17.96
JFK,LAX,UA,-4,-36,319,178,17.96
JFK,LAX,UA,-4,-26,328,178,17.96
JFK,LAX,UA,-4,-25,320,178,17.96
JFK,LAX,UA,-4,-24,316,178,17.96
JFK,LAX,UA,-4,-24,319,178,17.96
JFK,LAX,UA,-4,-18,320,178,17.96
JFK,LAX,UA,-4,-16,329,178,17.96
JFK,LAX,UA,-4,-15,338,178,17.96
JFK,LAX,UA,-4,-13,328,178,17.96
JFK,LAX,UA,-4,-11,337,178,17.96
JFK,LAX,UA,-4,-8,342,178,17.96
JFK,LAX,UA,-4,-6,337,178,17.96
JFK,LAX,UA,-4,-6,341,178,17.96
JFK,LAX,UA,-4,-4,346,178,17.96
JFK,LAX,UA,-4,-2,342,178,17.96
JFK,LAX,UA,-4,-2,356,178,17.96
JFK,LAX,UA,-4,0,347,178,17.96
JFK,LAX,UA,-4,7,351,178,17.96
JFK,LAX,UA,-4,12,359,178,17.96
JFK,LAX,UA,-4,46,352,178,17.96
JFK,LAX,UA,-3,-53,292,178,17.96
JFK,LAX,UA,-3,-51,306,178,17.96
JFK,LAX,UA,-3,-42,312,178,17.96
JFK,LAX,UA,-3,-39,318,178,17.96
JFK,LAX,UA,-3,-35,321,178,17.96
JFK,LAX,UA,-3,-34,320,178,17.96
JFK,LAX,UA,-3,-29,329,178,17.96
JFK,LAX,UA,-3,-28,314,178,17.96
JFK,LAX,UA,-3,-24,337,178,17.96
JFK,LAX,UA,-3,-14,340,178,17.96
JFK,LAX,UA,-3,-12,337,178,17.96
JFK,LAX,UA,-3,-10,320,178,17.96
JFK,LAX,UA,-3,-10,333,178,17.96
JFK,LAX,UA,-3,-8,337,178,17.96
JFK,LAX,UA,-3,-8,345,178,17.96
JFK,LAX,UA,-3,-7,342,178,17.96
JFK,LAX,UA,-3,-6,339,178,17.96
JFK,LAX,UA,-3,-3,305,178,17.96
JFK,LAX,UA,-3,1,340,178,17.96
JFK,LAX,UA,-3,2,331,178,17.96
JFK,LAX,UA,-3,2,336,178,17.96
JFK,LAX,UA,-3,5,356,178,17.96
JFK,LAX,UA,-3,36,358,178,17.96
JFK,LAX,UA,-2,-43,281,178,17.96
JFK,LAX,UA,-2,-33,314,178,17.96
JFK,LAX,UA,-2,-28,311,178,17.96
JFK,LAX,UA,-2,-28,323,178,17.96
JFK,LAX,UA,-2,-25,316,178,17.96
JFK,LAX,UA,-2,-23,337,178,17.96
JFK,LAX,UA,-2,-22,322,178,17.96
JFK,LAX,UA,-2,-22,335,178,17.96
JFK,LAX,UA,-2,-21,338,178,17.96
JFK,LAX,UA,-2,-17,315,178,17.96
JFK,LAX,UA,-2,-15,329,178,17.96
JFK,LAX,UA,-2,-13,341,178,17.96
JFK,LAX,UA,-2,-11,331,178,17.96
JFK,LAX,UA,-2,-10,321,178,17.96
JFK,LAX,UA,-2,-10,334,178,17.96
JFK,LAX,UA,-2,-9,325,178,17.96
JFK,LAX,UA,-2,-8,337,178,17.96
JFK,LAX,UA,-2,-8,343,178,17.96
JFK,LAX,UA,-2,-4,339,178,17.96
JFK,LAX,UA,-2,-4,342,178,17.96
JFK,LAX,UA,-2,-3,341,178,17.96
JFK,LAX,UA,-2,-3,354,178,17.96
JFK,LAX,UA,-2,-1,323,178,17.96
JFK,LAX,UA,-2,6,320,178,17.96
JFK,LAX,UA,-2,7,342,178,17.96
JFK,LAX,UA,-2,9,332,178,17.96
JFK,LAX,UA,-2,14,346,178,17.96
JFK,LAX,UA,-2,15,344,178,17.96
JFK,LAX,UA,-1,-30,310,178,17.96
